"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","305","Create File with empty filename","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","16","Create File","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","7","Get user me","LMS service","2026-06-15","passed","2026-06-15","TestUsersMe","Users","",""
"","613","Login user","tests.test_authentication","2026-06-15","passed","2026-06-15","TestAuthentication","test_authentication","",""
"","297","Get File with incorrect file id","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","325","Delete Exercise","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
"","324","Delete File","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","328","Create user","LMS service","2026-06-15","passed","2026-06-15","Create entity","Users","",""
"","18","Get Exercise","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
"","630","Create user","LMS service","2026-06-15","passed","2026-06-15","Create entity","Users","",""
"","315","Get File","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","19","Update Exercise","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
"","16","Update Course","tests.test_courses","2026-06-15","passed","2026-06-15","TestCourses","test_courses","",""
"","318","Get Courses","tests.test_courses","2026-06-15","passed","2026-06-15","TestCourses","test_courses","",""
"","614","Create user","LMS service","2026-06-15","passed","2026-06-15","Create entity","Users","",""
"","17","Get Exercises","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
"","31","Create Exercise","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
"","303","Create File with empty directory","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","347","Delete Courses","tests.test_courses","2026-06-15","passed","2026-06-15","TestCourses","test_courses","",""
