"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","564","Create user","LMS service","2026-06-14","passed","2026-06-14","Create entity","Users","",""
"","21","Update Exercise","tests.test_exercise","2026-06-14","passed","2026-06-14","TestExercises","test_exercise","",""
"","18","Update Course","tests.test_courses","2026-06-14","passed","2026-06-14","TestCourses","test_courses","",""
"","14","Create File with empty filename","tests.test_files","2026-06-14","passed","2026-06-14","TestFiles","test_files","",""
"","9","Get File","tests.test_files","2026-06-14","passed","2026-06-14","TestFiles","test_files","",""
"","6","Get user me","LMS service","2026-06-14","passed","2026-06-14","TestUsersMe","Users","",""
"","559","Create user","LMS service","2026-06-14","passed","2026-06-14","Create entity","Users","",""
"","263","Create File with empty directory","tests.test_files","2026-06-14","passed","2026-06-14","TestFiles","test_files","",""
"","313","Delete Courses","tests.test_courses","2026-06-14","passed","2026-06-14","TestCourses","test_courses","",""
"","269","Get File with incorrect file id","tests.test_files","2026-06-14","passed","2026-06-14","TestFiles","test_files","",""
"","16","Get Exercises","tests.test_exercise","2026-06-14","passed","2026-06-14","TestExercises","test_exercise","",""
"","11","Create File","tests.test_files","2026-06-14","passed","2026-06-14","TestFiles","test_files","",""
"","311","Delete File","tests.test_files","2026-06-14","passed","2026-06-14","TestFiles","test_files","",""
"","285","Get Courses","tests.test_courses","2026-06-14","passed","2026-06-14","TestCourses","test_courses","",""
"","20","Create Exercise","tests.test_exercise","2026-06-14","passed","2026-06-14","TestExercises","test_exercise","",""
"","18","Get Exercise","tests.test_exercise","2026-06-14","passed","2026-06-14","TestExercises","test_exercise","",""
"","554","Create user","LMS service","2026-06-14","passed","2026-06-14","Create entity","Users","",""
"","19","Delete Exercise","tests.test_exercise","2026-06-14","passed","2026-06-14","TestExercises","test_exercise","",""
"","546","Login user","tests.test_authentication","2026-06-14","passed","2026-06-14","TestAuthentication","test_authentication","",""
