"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","350","Delete Courses","tests.test_courses","2026-06-12","passed","2026-06-12","TestCourses","test_courses","",""
"","16","Update Exercise","tests.test_exercise","2026-06-12","passed","2026-06-12","TestExercises","test_exercise","",""
"","8","Get File","tests.test_files","2026-06-12","passed","2026-06-12","TestFiles","test_files","",""
"","16","Create File with empty filename","tests.test_files","2026-06-12","passed","2026-06-12","TestFiles","test_files","",""
"","318","Get Exercise","tests.test_exercise","2026-06-12","passed","2026-06-12","TestExercises","test_exercise","",""
"","329","Get Courses","tests.test_courses","2026-06-12","passed","2026-06-12","TestCourses","test_courses","",""
"","625","Create user","LMS service","2026-06-12","passed","2026-06-12","Create entity","Users","",""
"","306","Get File with incorrect file id","tests.test_files","2026-06-12","passed","2026-06-12","TestFiles","test_files","",""
"","300","Create File with empty directory","tests.test_files","2026-06-12","passed","2026-06-12","TestFiles","test_files","",""
"","342","Delete File","tests.test_files","2026-06-12","passed","2026-06-12","TestFiles","test_files","",""
"","12","Create File","tests.test_files","2026-06-12","passed","2026-06-12","TestFiles","test_files","",""
"","20","Create Exercise","tests.test_exercise","2026-06-12","passed","2026-06-12","TestExercises","test_exercise","",""
"","629","Create user","LMS service","2026-06-12","passed","2026-06-12","Create entity","Users","",""
"","16","Delete Exercise","tests.test_exercise","2026-06-12","passed","2026-06-12","TestExercises","test_exercise","",""
"","18","Update Course","tests.test_courses","2026-06-12","passed","2026-06-12","TestCourses","test_courses","",""
"","7","Get user me","LMS service","2026-06-12","passed","2026-06-12","TestUsersMe","Users","",""
"","321","Get Exercises","tests.test_exercise","2026-06-12","passed","2026-06-12","TestExercises","test_exercise","",""
"","615","Login user","tests.test_authentication","2026-06-12","passed","2026-06-12","TestAuthentication","test_authentication","",""
"","627","Create user","LMS service","2026-06-12","passed","2026-06-12","Create entity","Users","",""
