"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Get Exercise","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
"","299","Get File with incorrect file id","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","316","Delete File","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","16","Create File","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","313","Get File","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","21","Create Exercise","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
"","633","Create user","LMS service","2026-06-15","passed","2026-06-15","Create entity","Users","",""
"","302","Create File with empty directory","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","16","Get Exercises","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
"","299","Create File with empty filename","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","325","Delete Exercise","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
"","318","Get Courses","tests.test_courses","2026-06-15","passed","2026-06-15","TestCourses","test_courses","",""
"","346","Delete Courses","tests.test_courses","2026-06-15","passed","2026-06-15","TestCourses","test_courses","",""
"","611","Create user","LMS service","2026-06-15","passed","2026-06-15","Create entity","Users","",""
"","615","Login user","tests.test_authentication","2026-06-15","passed","2026-06-15","TestAuthentication","test_authentication","",""
"","631","Create user","LMS service","2026-06-15","passed","2026-06-15","Create entity","Users","",""
"","17","Update Course","tests.test_courses","2026-06-15","passed","2026-06-15","TestCourses","test_courses","",""
"","8","Get user me","LMS service","2026-06-15","passed","2026-06-15","TestUsersMe","Users","",""
"","21","Update Exercise","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
