"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","633","Create user","LMS service","2026-06-14","passed","2026-06-14","Create entity","Users","",""
"","15","Update Course","tests.test_courses","2026-06-14","passed","2026-06-14","TestCourses","test_courses","",""
"","613","Login user","tests.test_authentication","2026-06-14","passed","2026-06-14","TestAuthentication","test_authentication","",""
"","16","Create File with empty filename","tests.test_files","2026-06-14","passed","2026-06-14","TestFiles","test_files","",""
"","348","Delete File","tests.test_files","2026-06-14","passed","2026-06-14","TestFiles","test_files","",""
"","18","Delete Exercise","tests.test_exercise","2026-06-14","passed","2026-06-14","TestExercises","test_exercise","",""
"","14","Create File","tests.test_files","2026-06-14","passed","2026-06-14","TestFiles","test_files","",""
"","632","Create user","LMS service","2026-06-14","passed","2026-06-14","Create entity","Users","",""
"","321","Get Exercise","tests.test_exercise","2026-06-14","passed","2026-06-14","TestExercises","test_exercise","",""
"","11","Get File","tests.test_files","2026-06-14","passed","2026-06-14","TestFiles","test_files","",""
"","296","Get File with incorrect file id","tests.test_files","2026-06-14","passed","2026-06-14","TestFiles","test_files","",""
"","316","Get Courses","tests.test_courses","2026-06-14","passed","2026-06-14","TestCourses","test_courses","",""
"","20","Create Exercise","tests.test_exercise","2026-06-14","passed","2026-06-14","TestExercises","test_exercise","",""
"","620","Create user","LMS service","2026-06-14","passed","2026-06-14","Create entity","Users","",""
"","346","Delete Courses","tests.test_courses","2026-06-14","passed","2026-06-14","TestCourses","test_courses","",""
"","297","Create File with empty directory","tests.test_files","2026-06-14","passed","2026-06-14","TestFiles","test_files","",""
"","23","Update Exercise","tests.test_exercise","2026-06-14","passed","2026-06-14","TestExercises","test_exercise","",""
"","15","Get Exercises","tests.test_exercise","2026-06-14","passed","2026-06-14","TestExercises","test_exercise","",""
"","8","Get user me","LMS service","2026-06-14","passed","2026-06-14","TestUsersMe","Users","",""
