"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","282","Get File","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","267","Create File with empty directory","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","6","Get user me","LMS service","2026-06-15","passed","2026-06-15","TestUsersMe","Users","",""
"","18","Get Exercise","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
"","563","Create user","LMS service","2026-06-15","passed","2026-06-15","Create entity","Users","",""
"","271","Create File with empty filename","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","20","Create File","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","284","Get Courses","tests.test_courses","2026-06-15","passed","2026-06-15","TestCourses","test_courses","",""
"","271","Get File with incorrect file id","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","315","Delete Courses","tests.test_courses","2026-06-15","passed","2026-06-15","TestCourses","test_courses","",""
"","552","Create user","LMS service","2026-06-15","passed","2026-06-15","Create entity","Users","",""
"","24","Update Exercise","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
"","22","Create Exercise","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
"","283","Delete File","tests.test_files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","19","Delete Exercise","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
"","20","Get Exercises","tests.test_exercise","2026-06-15","passed","2026-06-15","TestExercises","test_exercise","",""
"","545","Login user","tests.test_authentication","2026-06-15","passed","2026-06-15","TestAuthentication","test_authentication","",""
"","296","Create user","LMS service","2026-06-15","passed","2026-06-15","Create entity","Users","",""
"","17","Update Course","tests.test_courses","2026-06-15","passed","2026-06-15","TestCourses","test_courses","",""
